Week,Publish Slot,Track,Content Category,Video Topic,Storytelling Angle,Hook Line,Google Flow Visual Style,SEO Title,Status
27,Sun,D - Wildcard,Conservation,"How endangered is wild Aquilaria, really? - a fact-check","Myth-bust","'Agarwood is going extinct' - true, exaggerated, or somewhere in between?","Documentary, depleted forest, then a tagged survivor tree","Is Agarwood Going Extinct? A Clear-Eyed Fact-Check",Planned
28,Mon,A - Science & The Tree,Microbiology,"Lasiodiplodia theobromae - the aggressive inducer","POV: a fungus","One fungus doesn't wait to be invited - it kicks the door down.","Time-lapse macro, fast hyphae spread, dark stain","Lasiodiplodia: The Fungus That Forces Agarwood to Form",Planned
28,Wed,B - History & Trade,Modern,"The Vietnam War years and the agarwood boom-bust","Object biography","War scattered people into the forests - and some came out carrying oud.","Documentary archival, jungle, period grain","Agarwood and the Vietnam War: A Forgotten Boom",Planned
28,Fri,C - Culture / Myth / Medicine,Folk legend,"'The wood that found its owner' - agarwood amulet legends","Letter / storyteller's voice","They say the right piece of oud doesn't get bought - it gets chosen.","Folk-tale visuals, lantern light, a chip on a cord","The Agarwood Amulet Legends: When the Wood Picks You",Planned
28,Sun,D - Wildcard,Economy,"'Buy a tree' investment schemes - the agarwood scams","Detective / expose","'Invest in an agarwood tree, retire in twelve years' - read the fine print.","Glossy ad aesthetic that cracks into a dusty plantation","Agarwood Investment Scams: The 'Buy a Tree' Trap",Planned
29,Mon,A - Science & The Tree,Microbiology,"Phialophora and the endophyte question","Detective / lab","Some fungi live quietly inside a healthy tree - until the day it's cut.","Microscope POV, hidden hyphae in healthy tissue","The Hidden Fungi Inside Healthy Aquilaria Trees",Planned
29,Wed,B - History & Trade,Modern,"The 1980s-90s wild-harvest gold rush across Southeast Asia","Documentary thriller","Word got out: a tree in your forest might be worth a year's wages.","Period documentary, machetes, jungle, hand-held","The Agarwood Gold Rush: How the Wild Harvest Boom Began",Planned
29,Fri,C - Culture / Myth / Medicine,Lao and Khmer,"Lao and Cambodian agarwood customs","Day-in-the-life","Across the Mekong, the same wood carries slightly different rituals.","Riverside villages, temple incense, warm light","Agarwood in Laos and Cambodia: Quiet Traditions Along the Mekong",Planned
29,Sun,D - Wildcard,People,"Profile - a Japanese Kodo master","Profile / portrait","Forty years of practice to 'hear' a single piece of wood properly.","Quiet studio portrait, tatami, incense tools, soft light","Meet a Master of Kodo, Japan's Way of Incense",Planned
30,Mon,A - Science & The Tree,Microbiome,"The microbiome of a wounded Aquilaria","POV: a community of microbes","A cut tree isn't fighting one enemy - it's hosting a whole crowd.","Micro-world animation, many organisms, neon ecology","The Microbial Crowd That Gathers When You Wound an Agarwood Tree",Planned
30,Wed,B - History & Trade,Naming,"Eaglewood, aloeswood, calambac - the tangle of European names","Origin story (of words)","Europeans called it a bird, a plant, and a port - and meant the same wood.","Old maps and labels animating, crossed-out names","Why Agarwood Has So Many Old European Names",Planned
30,Fri,C - Culture / Myth / Medicine,Daoism,"Daoist ritual and fragrant smoke","Ritual close-up","In a Daoist rite, the smoke is a road the prayers walk up.","Daoist temple, talismans, incense, mountain mist","Agarwood in Daoist Ritual: Smoke as a Pathway",Planned
30,Sun,D - Wildcard,Sustainability,"Reforestation and assisted regeneration projects","Day-in-the-life","A team replants the trees the gold rush took - and waits decades.","Bright field documentary, nursery, planting, drone","Replanting the Forests: Agarwood Reforestation Projects",Planned
31,Mon,A - Science & The Tree,Pest ecology,"The Heortia vitessoides defoliator - pest or partner?","Detective / debate","A caterpillar that strips Aquilaria bare - does that ruin oud, or trigger it?","Macro of caterpillars on leaves, then a darkening wound","The Caterpillar That Eats Agarwood Trees: Threat or Trigger?",Planned
31,Wed,B - History & Trade,CITES,"1995 - Aquilaria malaccensis listed on CITES Appendix II","Object biography (of a rule)","One signature in 1995 changed how every piece of oud crosses a border.","Conference room, gavel, stamped documents, archival","1995: The Year Agarwood Became a Protected Species",Planned
31,Fri,C - Culture / Myth / Medicine,Material culture,"Agarwood in funerary practice across cultures","Comparison","Egypt, China, the Arab world - all reached for fragrant wood at a graveside.","Solemn montage, candlelight, incense, restrained palette","Agarwood and Death: How Cultures Use Oud in Funerals",Planned
31,Sun,D - Wildcard,Mystery,"The fake-CITES-certificate problem","Detective / expose","The paperwork says 'legal, plantation-grown.' The paperwork is forged.","Documentary, certificate under a loupe, customs desk","Fake Permits, Real Oud: The CITES Certificate Problem",Planned
32,Mon,A - Science & The Tree,Triggers,"Storm and wind breakage as a natural trigger","POV: a snapped branch","No fungus, no beetle - just a storm, a torn limb, and a tree fighting back.","Storm-lit rainforest, branch tearing, rain, drama","How Storms and Wind Create Agarwood in the Wild",Planned
32,Wed,B - History & Trade,CITES,"2004 - the whole genus and Gyrinops listed on CITES","Object biography (of a rule)","Nine years later they closed the loophole - every Aquilaria, every Gyrinops.","Archival macro, layered stamps, a widening map","2004: When CITES Protected Every Agarwood Species",Planned
32,Fri,C - Culture / Myth / Medicine,Literature,"Oud in classical Chinese poetry - Su Shi and the incense poems","Sensory journey","A poet in exile writes that the only luxury he kept was a sliver of chenxiang.","Ink-wash landscape, scholar's desk, incense thread","Agarwood in Chinese Poetry: Su Shi and the Incense Verses",Planned
32,Sun,D - Wildcard,People,"Profile - a Gulf oud-merchant dynasty","Profile / portrait","Four generations in one souk shop - and the family nose to match.","Souk interior, glass cabinets of oud, warm gold light","Meet a Gulf Family That Has Sold Oud for Four Generations",Planned
33,Mon,A - Science & The Tree,Triggers,"Animal damage as a natural trigger","POV: an elephant's tusk","An elephant gouges a trunk in passing - and walks away from a fortune.","Rainforest, large mammals, torn bark, dappled light","When Animals Wound Agarwood Trees: Nature's Accidental Inducer",Planned
33,Wed,B - History & Trade,Plantation era,"The birth of the plantation industry (1990s-2000s Vietnam)","Origin story (of an industry)","When the wild ran out, a few farmers asked: can we just grow it?","Documentary, early plantations, hand-drilled trees","How the Agarwood Plantation Industry Was Born in Vietnam",Planned
33,Fri,C - Culture / Myth / Medicine,Folk legend,"The lightning-struck 'god tree' legend","Letter / storyteller's voice","In some villages, a tree hit by lightning isn't unlucky - it's blessed.","Storm imagery, a glowing scarred tree, folk-tale palette","The 'God Tree': Why Some Cultures Revere Lightning-Struck Aquilaria",Planned
33,Sun,D - Wildcard,Economy,"The richest oud ever sold - record prices and provenance","Auction / price reveal","A piece small enough to hold sold for the price of a house. Here's its story.","Auction-house elegance, spotlit chip, paddle raised","The Most Expensive Agarwood Ever Sold (And Why It Cost That Much)",Planned
34,Mon,A - Science & The Tree,Conversion,"Partial vs full conversion - the 'agar-wit' wood","Before / after split","Most of a 'good' tree is still ordinary wood. The fragrant part is a thin seam.","Cross-section, pale wood with dark veins, raking light","Why Most of an Agarwood Tree Is Still Worthless Wood",Planned
34,Wed,B - History & Trade,Patent era,"The 2010s 'agarwood-inducing technique' patent boom","Detective / patent trail","Dozens of patents, one promise: make a tree produce oud on a schedule.","Patent diagrams animating, plantation drone, lab","The Patent Race to Industrialise Agarwood",Planned
34,Fri,C - Culture / Myth / Medicine,Vietnamese folklore,"Vietnamese folktales of the ky nam spirit-wood","Letter / storyteller's voice","Stories say ky nam glows faintly at night and won't sink for the unworthy.","Folk-tale visuals, jungle at night, faint glow","Ky Nam: The Vietnamese Legends of Agarwood's Highest Grade",Planned
34,Sun,D - Wildcard,People,"Profile - a perfumer who works with real oud","Profile / portrait","Most 'oud' perfumes never touch the wood. She works with the real thing.","Modern lab, blotters, dark oil vials, clean daylight","Meet a Perfumer Who Builds Fragrances With Real Oud",Planned
35,Mon,A - Science & The Tree,Dating,"How labs date a piece of agarwood","Lab bench","That chip in the burner - was the resin laid down in 1700 or 1990?","Lab-noir, radiocarbon prep, sample vials, cool light","How Old Is This Agarwood? How Scientists Date the Resin",Planned
35,Wed,B - History & Trade,Modern smuggling,"Modern smuggling busts and seizure stories","Heist / thriller","Sniffer dogs, hidden compartments, and a wood that's hard to disguise.","Documentary thriller, customs hall, X-ray, seized crates","The Biggest Agarwood Seizures (And How Smugglers Got Caught)",Planned
35,Fri,C - Culture / Myth / Medicine,Thailand,"Thai royal ceremony and agarwood","Day-in-the-life","In Thai royal rites, the right fragrant wood is part of the protocol.","Gilded temple, royal regalia, incense haze, warm gold","Agarwood in Thai Royal and Temple Ceremony",Planned
35,Sun,D - Wildcard,People,"Profile - an Aquilaria conservation scientist","Profile / portrait","She maps the last wild stands - and races the chainsaws to them.","Field documentary, GPS, tagged trees, jungle light","Meet the Scientist Trying to Save Wild Agarwood",Planned
36,Mon,A - Science & The Tree,Analysis,"GC-MS - how a lab 'reads' an oud","Lab bench","Feed one drop into this machine and out comes a barcode of the smell.","Lab-noir, chromatogram building peak by peak, cool blue","How Scientists Read an Oud: GC-MS Explained Simply",Planned
36,Wed,B - History & Trade,Price history,"The price history - how oud became 'more expensive than gold'","By the numbers","Trace the price of top-grade oud across a thousand years.","Neon data-viz, a rising line over a historical montage","How Agarwood Became More Expensive Than Gold: A Price History",Planned
36,Fri,C - Culture / Myth / Medicine,Western culture,"Oud as a Western status fragrance - the cultural shift","Origin story (of a trend)","Twenty years ago no one in the West knew the word. Now it's on every shelf.","Glossy department-store aesthetic, perfume walls","How 'Oud' Became a Luxury Buzzword in the West",Planned
36,Sun,D - Wildcard,Tourism,"Agarwood tourism - plantation visits and 'make your own oud'","Day-in-the-life","Tourists now drill their own tree and come back years later for the oil.","Bright travel-doc, plantation tour, visitors, drone","Agarwood Tourism: Visiting the Farms Where Oud Is Made",Planned
37,Mon,A - Science & The Tree,Analysis,"Metabolomics - mapping an oud's full chemical portrait","Detective / lab","Not one molecule, not ten - a portrait of every compound at once.","Data-viz constellation of molecules over dark","Metabolomics: Painting the Full Chemical Portrait of Agarwood",Planned
37,Wed,B - History & Trade,Heritage,"Agarwood museums and heritage objects (the Shosoin problem)","Object biography","How do you protect a 1,200-year-old fragrant log without letting it fade?","Museum vault, climate controls, white gloves, soft light","How Museums Preserve Ancient Agarwood Treasures",Planned
37,Fri,C - Culture / Myth / Medicine,Material culture,"The sinking-grade mystique and collector culture","Sensory journey","For collectors, a chip that sinks isn't a product - it's an object of devotion.","Reverent macro, velvet box, low warm light","Why Collectors Worship 'Sinking-Grade' Agarwood",Planned
37,Sun,D - Wildcard,People,"Profile - an 'agar hunter': wild harvesting then and now","Profile / portrait","He used to find a fortune in a week. Now he walks days and finds stumps.","Weathered documentary, jungle trek, machete, headlamp","The Agar Hunters: Life Searching for Wild Oud",Planned
38,Mon,A - Science & The Tree,Genomics,"Transcriptomics - what RNA-seq of a wounded tree revealed","Detective / lab","Cut a tree, freeze the wound, and read which genes just woke up.","Heat-map of gene expression igniting, then a tree","RNA-Seq of a Wounded Agarwood Tree: Which Genes Switch On",Planned
38,Wed,B - History & Trade,Perfume history,"Agarwood and the great perfume houses (Guerlain to today)","Object biography","A handful of famous bottles quietly carried oud long before the 'oud boom'.","Vintage perfume-house aesthetic, archival bottles, gold","Oud in Classic Perfumery: From Guerlain to the Modern Houses",Planned
38,Fri,C - Culture / Myth / Medicine,Wellness,"Agarwood in modern aromatherapy claims - what's evidenced, what isn't","Myth-bust","'Oud reduces anxiety' - here's what the actual studies do and don't show.","Calm wellness aesthetic interrupted by a fact-check overlay","Does Oud Aromatherapy Work? Separating Evidence From Marketing",Planned
38,Sun,D - Wildcard,Heritage,"How museums conserve historic agarwood (the conservation science)","Lab bench","Slow the fade, stop the rot, lose none of the smell - the conservator's puzzle.","Conservation lab, instruments, fragile wood, cool light","The Science of Preserving Historic Agarwood Objects",Planned
39,Mon,A - Science & The Tree,Biotech chemistry,"The 'agarwood-inducing liquid' - does the chemistry hold up?","Lab bench","Drill a hole, pour in a mystery liquid, wait - but does it really work?","Plantation close-up of injection, then lab analysis","Do 'Agarwood-Inducing' Injections Actually Work? The Science",Planned
39,Wed,B - History & Trade,Modern perfumery,"The 2002 moment - when Western perfumery rediscovered oud","Origin story (of a launch)","One niche release in 2002 quietly handed 'oud' to mainstream perfumery.","Early-2000s editorial aesthetic, a single bottle, spotlight","The Perfume Launch That Started the Western Oud Craze",Planned
39,Fri,C - Culture / Myth / Medicine,Wellness,"Home oud burning in the West - the wellness market","Day-in-the-life","Electric burners, oud 'chips', and a $40 'meditation' ritual - what you're actually buying.","Modern apartment, mood lighting, small burner, smoke","The Western Home-Oud Trend: Ritual, Wellness or Marketing?",Planned
39,Sun,D - Wildcard,Mystery,"Could synthetic biology replace agarwood? - yeast-brewed sesquiterpenes","Detective / lab","If yeast can brew the molecules, do we still need the tree?","Bioreactor close-up, bubbling vats, then a forest cutaway","Can We Brew Agarwood in a Vat? Synthetic Biology vs the Tree",Planned
40,Mon,A - Science & The Tree,Stress factors,"Soil, altitude and climate - terroir for resin","Comparison","Same species, two hillsides - and two very different ouds.","Split-landscape, lowland vs highland, soil cross-sections","Does Agarwood Have 'Terroir'? How Place Shapes the Smell",Planned
40,Wed,B - History & Trade,Branding,"How 'oud' became a Western marketing word in the 2010s","Detective / culture","Shampoo, candles, hand soap - 'oud' on the label, often no oud inside.","Supermarket-shelf montage, 'oud' labels everywhere","'Oud-Scented' Everything: How a Trade Word Became a Marketing Word",Planned
40,Fri,C - Culture / Myth / Medicine,Wellness,"Aquilaria leaf tea - tradition or trend?","Myth-bust","The leaves are cheap, the marketing is bold - is 'agarwood tea' a real tradition?","Tea ceremony aesthetic, dried leaves, then a fact-check card","Agarwood Leaf Tea: Ancient Remedy or Modern Hype?",Planned
40,Sun,D - Wildcard,Economy,"Building a fair price benchmark - the 'agarwood index'","By the numbers","No two ouds are alike - so how could anyone build a price index? Some are trying.","Neon data-viz, scatter of grades, a fitted price curve","Can You Build a Price Index for Agarwood? The Attempts So Far",Planned
41,Mon,A - Science & The Tree,Tree health,"Can you over-wound a tree? Yield vs mortality","Lab bench / field trial","Wound it more, get more oud - until you wound it once too often.","Field trial, treated trees, a yield-vs-survival curve","How Much Can You Wound an Agarwood Tree Before It Dies?",Planned
41,Wed,B - History & Trade,Modern science,"The 2020s biotech-startup wave and 'lab oud' hype","Detective / expose","Slick pitch decks promised 'agarwood without the tree'. Where are they now?","Startup-demo aesthetic, then a sober follow-up","The 'Lab Oud' Startups: What They Promised vs What They Delivered",Planned
41,Fri,C - Culture / Myth / Medicine,Material culture,"Kyara worship - how one grade became almost sacred","Sensory journey","For some, Kyara isn't graded against gold - it's beyond price.","Reverent macro, single Kyara sliver, dark velvet, soft light","Why Kyara Is Treated Like a Sacred Object",Planned
41,Sun,D - Wildcard,Climate,"Will climate change alter oud chemistry?","Detective / lab","If heat and drought are stressors, will a hotter world change how oud smells?","Cracked-earth imagery, stressed trees, then lab vials","Will Climate Change Change the Smell of Oud?",Planned
42,Mon,A - Science & The Tree,Transcription factors,"WRKY and other transcription factors in the defense cascade","POV: a gene network","Behind the master switch sits a whole committee of genes voting on the response.","Network animation, nodes lighting in sequence, neon-on-black","The Gene Network Behind Agarwood (Beyond AsMYC2)",Planned
42,Wed,B - History & Trade,Future,"The future of agarwood as a traded commodity","By the numbers / forecast","Synthetic notes, vertical farms, carbon credits - where does real oud fit in 2050?","Near-future data-viz, supply curves branching","The Future of the Agarwood Trade: A 2050 Outlook",Planned
42,Fri,C - Culture / Myth / Medicine,Connoisseurship,"Training the nose - how connoisseurs learn to 'read' an oud","Day-in-the-life","Year one: you smell 'wood'. Year ten: you smell a forest, a river, a season.","Quiet study, rows of labelled vials, a learner's notes","How to Learn to Smell Oud Like a Connoisseur",Planned
42,Sun,D - Wildcard,Big question,"If wild agarwood vanished tomorrow - what would we lose?","Sensory journey / thought experiment","Imagine the last wild Aquilaria falls. What exactly disappears with it?","Elegiac montage, forest fading to plantation rows","If Wild Agarwood Disappeared, What Would We Actually Lose?",Planned
43,Mon,A - Science & The Tree,Immune trade-offs,"Jasmonate-salicylate crosstalk - the immune trade-off","POV: two competing signals","The tree can't fight every threat at once - so two alarm systems argue.","Cell interior, two coloured pathways pushing against each other","The Immune Trade-Off Inside a Wounded Agarwood Tree",Planned
43,Wed,B - History & Trade,Comparative history,"Frankincense, myrrh and agarwood - the three great resin trades","Comparison","Three wounded plants, three ancient fortunes - how does oud's story compare?","Triptych montage, desert vs rainforest, animated routes","Frankincense, Myrrh, Agarwood: The Three Great Resin Trades Compared",Planned
43,Fri,C - Culture / Myth / Medicine,Esoteric,"Incense and the literary game: Kumiko (matching scents to poems)","Court intrigue","Guests don't just name the scent - they answer it with the right classical poem.","Tatami room, poem cards, incense tools, candle warmth","Kumiko: The Game Where Agarwood Scents Are Answered With Poetry",Planned
43,Sun,D - Wildcard,Comparison,"Real oud vs synthetic oud - a blind-test breakdown","Comparison / blind test","Two scent strips. One came from a tree, one from a factory. Pick the tree.","Split-screen lab, paired blotters, cool clinical light","Real Oud vs Synthetic Oud: Can You Actually Tell?",Planned
44,Mon,A - Science & The Tree,New discoveries,"New compounds discovered in agarwood in the 2020s","Detective / lab","Even now, chemists keep pulling never-before-described molecules out of oud.","Lab-noir, fresh spectra, a newly drawn structure rotating","What Scientists Are Still Discovering Inside Agarwood",Planned
44,Wed,B - History & Trade,Comparative,"Agarwood vs ambergris - the two strangest luxury smells","Comparison","One is a wounded tree, one is whale waste - both cost a fortune. Why?","Diptych: rainforest tree and a beach find, elegant macro","Agarwood vs Ambergris: Two Bizarre Origins of Luxury Scent",Planned
44,Fri,C - Culture / Myth / Medicine,Material culture,"The agarwood auction and the super-collectors","Auction / price reveal","A quiet room, a sliver of wood, and bids that climb past a luxury car.","Auction-house elegance, paddles, spotlit lot","Inside an Agarwood Auction: Who Pays Six Figures for Wood?",Planned
44,Sun,D - Wildcard,Comparison,"Distilled oud vs 'oud accord' - what's in your perfume bottle","Comparison","The bottle says 'oud'. Sometimes that means a tree. Often it means a recipe.","Macro of a perfume bottle, then a split of wood vs molecules","'Oud' in Perfume: When It's Real Wood and When It's a Recipe",Planned
45,Mon,A - Science & The Tree,Convergent evolution,"Convergent evolution: agarwood vs frankincense vs pine resin","Comparison","Three unrelated plants, hit by trouble, all answered with fragrant resin. Why?","Triptych macro, three resins, branching evolutionary tree","Why So Many Plants 'Bleed' Fragrant Resin When Wounded",Planned
45,Wed,B - History & Trade,Comparative,"Why most trees scab but Aquilaria 'bleeds gold'","Comparison","A pine seals a cut with cheap sap. Aquilaria seals it with something priceless.","Side-by-side macro, pine sap vs agarwood resin, raking light","Why Agarwood Resin Is Worth a Fortune and Pine Sap Isn't",Planned
45,Fri,C - Culture / Myth / Medicine,Wellness,"Aquilaria leaf in folk medicine (laxative, antioxidant claims)","Myth-bust","The leaves are sold for half a dozen ailments - here's what's actually tested.","Apothecary aesthetic, dried leaves, then a fact-check card","Agarwood Leaves in Folk Medicine: What's Proven and What Isn't",Planned
45,Sun,D - Wildcard,Comparison,"Wild Kyara vs cultivated 'Kyara-grade' - is it the same thing?","Comparison / debate","Sellers now market 'Kyara-grade' from plantations. Purists say that's impossible.","Diptych macro, wild sliver vs cultivated piece, soft light","'Cultivated Kyara': Real Top-Grade Oud or Clever Marketing?",Planned
46,Mon,A - Science & The Tree,Tissue culture,"Tissue culture and micropropagation of Aquilaria","Lab bench","Before a plantation, there's a Petri dish full of cloned seedlings.","Lab, tissue-culture jars under grow lights, clean cool tones","Growing Agarwood Trees in a Lab: Tissue Culture Explained",Planned
46,Wed,B - History & Trade,Comparative,"Agarwood vs sandalwood - rival sacred woods of Asia","Comparison","Two fragrant woods, two scarcity crises, two CITES headaches - how do they differ?","Diptych, rainforest vs dry-zone, temple incense montage","Agarwood vs Sandalwood: Asia's Two Endangered Sacred Woods",Planned
46,Fri,C - Culture / Myth / Medicine,Material culture,"Agarwood in contemporary art and design","Day-in-the-life","Designers now carve, scent and light installations with the world's costliest wood.","Gallery space, dark sculptural wood, dramatic lighting","Agarwood in Modern Art and Design: The Costliest Material in the Room",Planned
46,Sun,D - Wildcard,Production,"The DIY-oud movement online - communities and pitfalls","Day-in-the-life","Hobbyists distil oud in their kitchens - some get magic, some get a mess.","Home-kitchen still, online forum overlays, warm light","The Online DIY Oud Scene: Passion, Scams and Kitchen Distillers",Planned
47,Mon,A - Science & The Tree,Bioassays,"Anti-inflammatory compounds in agarwood - what the lab actually found","Lab bench (careful framing)","'Agarwood reduces inflammation' - here's the cell-culture data, IC50s and all.","Microscope POV, cells calming, on-screen 'in laboratory studies'","Agarwood's Anti-Inflammatory Compounds: What Lab Studies Really Show",Planned
47,Wed,B - History & Trade,Comparative,"Agarwood vs civet and musk - the animal-vs-plant luxury divide","Comparison","Perfumery's old elite was mostly animal. Oud is the plant that joined the club.","Elegant montage, animal-derived vs plant-derived materials","Agarwood vs Musk and Civet: When a Plant Joined Perfumery's Elite",Planned
47,Fri,C - Culture / Myth / Medicine,Material culture,"Counterfeit oud - dyed wood, 'compressed' fakes and adulterated oils","Detective / expose","Black dye, a hot press, a splash of synthetic - and worthless wood 'becomes' oud.","Lab-noir, side-by-side real vs fake, UV light, magnifier","How Fake Oud Is Made (And How to Spot It)",Planned
47,Sun,D - Wildcard,Production,"Oud in food? - the rare culinary uses","Day-in-the-life","A pinch of agarwood in a royal dish - extravagant, ancient, and rarely seen.","Warm kitchen, brass pot, a single chip added, gold light","Has Anyone Ever Cooked With Agarwood? The Rare Culinary Uses",Planned
48,Mon,A - Science & The Tree,Bioassays,"Antimicrobial agarwood - what extracts kill in a petri dish","Lab bench","In the lab, oud extracts take on bacteria and fungi - including one that attacks the tree.","Petri-dish macro, inhibition rings forming, clinical light","What Agarwood Extracts Kill in the Lab (Antimicrobial Tests)",Planned
48,Wed,B - History & Trade,Comparative,"Agarwood vs saffron - the other 'worth more than gold' commodity","Comparison","Both get called 'more expensive than gold' - one's a flower, one's a wound.","Diptych macro, crimson threads vs dark resin, elegant","Agarwood vs Saffron: Two Things 'Worth More Than Gold' Compared",Planned
48,Fri,C - Culture / Myth / Medicine,Modern niche,"'Real oud vs oud accord' - the niche-perfume debate","Comparison / debate","Niche houses split into camps: pure distilled oud purists vs the accord builders.","Perfume-bar aesthetic, two camps' bottles, editorial light","The Great Niche-Perfume Argument: Pure Oud vs Oud Accords",Planned
48,Sun,D - Wildcard,Trade rules,"How legal oud actually crosses a border in 2025 - a step-by-step","Day-in-the-life","Permit, species ID, weight, country of origin - follow one shipment through customs.","Documentary, customs hall, paperwork, scanned crates","From Plantation to Perfumer: How a Legal Oud Shipment Travels",Planned
49,Mon,A - Science & The Tree,Mechanism recap,"Putting it together: from wound to perfume in one timeline","Time-lapse / recap","Replay the whole story - the cut, the alarm, the genes, the molecules - in one shot.","Continuous time-lapse, wound to dark fragrant heartwood","From Wound to Perfume: The Whole Agarwood Story in One Timeline",Planned
49,Wed,B - History & Trade,Recap,"3,000 years of oud in twelve objects","Object biography (anthology)","One driftwood log, one Geniza letter, one CITES stamp - a history in twelve things.","Museum-vitrine montage, twelve spotlit objects","The History of Agarwood Told Through 12 Objects",Planned
49,Fri,C - Culture / Myth / Medicine,Recap,"One wood, a dozen names - agar, jinko, oud, gaharu, aloeswood","Map journey","Five words, five cultures, one tree - watch the same chip change its name.","Map-pin montage, kinetic typography, one resin chip","Agar, Jinko, Oud, Gaharu: Why One Wood Has So Many Names",Planned
49,Sun,D - Wildcard,Big question,"Is farmed oud 'real' oud? - a courtroom-style debate","Courtroom / trial","Prosecution: it's a shortcut. Defence: it's the same biology. You're the jury.","Mock-courtroom staging, exhibits, two podiums, dramatic light","Is Plantation Oud 'Real' Oud? We Put It on Trial",Planned
50,Mon,A - Science & The Tree,Open questions,"Can wild and plantation chemistry ever truly match?","Detective / lab","Side-by-side GC traces of wild and farmed oud - how close do they really get?","Lab-noir, two overlaid chromatograms, cool blue","Will Plantation Oud Ever Smell Exactly Like Wild Oud?",Planned
50,Wed,B - History & Trade,Forecast,"The next 50 years for agarwood - a realistic forecast","By the numbers / forecast","Vertical farms, synthetic notes, carbon credits, CITES - where is oud headed by 2075?","Near-future data-viz, branching scenarios, restrained palette","Agarwood in 2075: A Realistic Forecast",Planned
50,Fri,C - Culture / Myth / Medicine,Big picture,"3,000 years of agarwood medicine - tradition vs evidence","Myth-bust (anthology)","Four pharmacopeias, three millennia of use - and what modern labs can and can't confirm.","Apothecary montage worldwide, then a clear evidence card","Agarwood in Traditional Medicine: 3,000 Years, Honestly Assessed",Planned
50,Sun,D - Wildcard,Big question,"The carbon and water footprint of one oud bottle","By the numbers","Trees, transport, distillation - what does a single bottle of oud really cost the planet?","Neon data-viz, footprint stacking up against a bottle","What's the Environmental Footprint of a Bottle of Oud?",Planned
51,Mon,A - Science & The Tree,Synthesis,"Everything we know about how agarwood forms - the state of the science","Detective / recap","After a decade of genomics and chemistry, here's what's settled - and what isn't.","Clean explainer graphics, a 'known vs unknown' board","How Agarwood Forms: Everything Science Has Figured Out (So Far)",Planned
51,Wed,B - History & Trade,Synthesis,"How agarwood connected the ancient world - the trade map, complete","Map journey (master)","Watch every route light up at once - the web of oud across three continents.","Master animated map, all routes glowing, time slider","The Complete Map of the Ancient Agarwood Trade",Planned
51,Fri,C - Culture / Myth / Medicine,Synthesis,"Why every great culture fell in love with the same wounded tree","Origin story (master)","Egypt, India, China, Japan, Arabia - separately, all chose this one wood. Why?","Grand montage stitching cultures together by a smoke thread","Why Every Major Civilisation Treasured Agarwood",Planned
51,Sun,D - Wildcard,Synthesis,"Can we save agarwood without losing it? - the conservation balance","Sensory journey / synthesis","Protect the wild, supply the world, keep the magic - can all three be true?","Documentary, wild forest and plantation in one frame","Can We Save Wild Agarwood and Still Have Oud? The Balance",Planned
52,Mon,A - Science & The Tree,Open file,"Everything we still don't know about agarwood - the open questions","Unsolved mystery (master)","The wound, the fungi, the Kyara puzzle - here's the list science hasn't closed.","Lab-noir, a wall of pinned questions, one light over each","The Big Unsolved Mysteries of Agarwood Science",Planned
52,Wed,B - History & Trade,Open file,"The agarwood stories history hasn't told yet","Detective / archive (master)","Lost ports, missing ledgers, undeciphered names - the oud history still buried.","Archive aesthetic, half-read documents, a fading map","The Untold History of Agarwood: What We Still Don't Know",Planned
52,Fri,C - Culture / Myth / Medicine,Open file,"What agarwood will mean to the next generation","Sensory journey (master)","If your grandchild burns oud in 2075, what story will the smoke be telling?","Near-future home, a small burner, a child watching smoke","What Will Agarwood Mean to Our Grandchildren?",Planned
52,Sun,D - Wildcard,Finale,"Agarwood: the whole story in one film","Recap (master / season finale)","One wounded tree, 3,000 years, three continents, a fortune - here it is, end to end.","Cinematic montage of the whole year, swelling score","Agarwood: The Complete Story (Season Finale)",Planned
53,Mon,A - Science & The Tree,Plant signalling,"Calcium and the oxidative burst - the first 60 seconds after a wound","POV: the first messenger","Before any gene fires, calcium floods the cut and the tree breathes in oxygen radicals.","Hyper-macro cell membrane, glowing calcium influx, neon-on-black","The First 60 Seconds: What Happens the Instant You Wound an Agarwood Tree",Planned
53,Wed,B - History & Trade,Etymology & trade,"Sylhet and Assam - is 'agarwood' literally named after a place?","Detective / etymology","Follow the word 'agar' upriver and you may arrive at the town it came from.","Map zooming into the Surma valley, old trade ledgers, monsoon light","Is Agarwood Named After a Place? The Sylhet-Assam Etymology",Planned
53,Fri,C - Culture / Myth / Medicine,Shinto,"Shinto and agarwood - purification, the kami and fragrant offerings","Ritual close-up","Before the prayer, the purification - and sometimes the purification is smoke.","Shrine torii, white paper streamers, thin incense thread, daylight","Agarwood in Shinto: Purification, Kami and the Smoke Offering",Planned
53,Sun,D - Wildcard,Trade craft,"A day in the life of an agarwood grader","Day-in-the-life","Weight, smell, water, light, origin - watch a piece get judged in real time.","Documentary, appraiser's bench, loupe, scale, water glass","What an Agarwood Grader Actually Does All Day",Planned
